,weekday,month,bus_route_id,violation_type,violations
375,Friday,2023-08,M34+,MOBILE BUS LANE,4
376,Friday,2023-08,M86+,MOBILE BUS LANE,3
377,Friday,2023-08,Q43,MOBILE BUS LANE,78
378,Friday,2023-08,Q44+,MOBILE BUS LANE,321
379,Friday,2023-08,Q58,MOBILE BUS LANE,80
380,Friday,2023-08,S79+,MOBILE BUS LANE,21
381,Friday,2023-09,B25,MOBILE BUS LANE,86
382,Friday,2023-09,B42,MOBILE BUS LANE,50
383,Friday,2023-09,B44+,MOBILE BUS LANE,79
384,Friday,2023-09,B46+,MOBILE BUS LANE,214
385,Friday,2023-09,B62,MOBILE BUS LANE,2
386,Friday,2023-09,BX12+,MOBILE BUS LANE,1102
387,Friday,2023-09,BX19,MOBILE BUS LANE,458
388,Friday,2023-09,BX35,MOBILE BUS LANE,125
389,Friday,2023-09,BX36,MOBILE BUS LANE,272
390,Friday,2023-09,BX41+,MOBILE BUS LANE,1037
391,Friday,2023-09,M14+,MOBILE BUS LANE,76
392,Friday,2023-09,M15+,MOBILE BUS LANE,718
393,Friday,2023-09,M23+,MOBILE BUS LANE,7
394,Friday,2023-09,M34+,MOBILE BUS LANE,11
395,Friday,2023-09,M86+,MOBILE BUS LANE,6
396,Friday,2023-09,Q43,MOBILE BUS LANE,150
397,Friday,2023-09,Q44+,MOBILE BUS LANE,423
398,Friday,2023-09,Q58,MOBILE BUS LANE,85
399,Friday,2023-09,S79+,MOBILE BUS LANE,25
400,Friday,2023-10,B25,MOBILE BUS LANE,271
401,Friday,2023-10,B26,MOBILE BUS LANE,2
402,Friday,2023-10,B42,MOBILE BUS LANE,38
403,Friday,2023-10,B62,MOBILE BUS LANE,5
404,Friday,2023-10,BX12+,MOBILE BUS LANE,643
405,Friday,2023-10,BX19,MOBILE BUS LANE,378
406,Friday,2023-10,BX35,MOBILE BUS LANE,129
407,Friday,2023-10,BX36,MOBILE BUS LANE,181
408,Friday,2023-10,BX41+,MOBILE BUS LANE,965
