,bus_route_id,month,weekday,violation_type,violations
389,B26,2023-10,Saturday,MOBILE BUS LANE,1
390,B26,2023-10,Tuesday,MOBILE BUS LANE,1
391,B26,2023-10,Wednesday,MOBILE BUS LANE,2
392,B26,2023-11,Monday,MOBILE BUS LANE,4
393,B26,2023-11,Saturday,MOBILE BUS LANE,1
394,B26,2023-11,Sunday,MOBILE BUS LANE,1
395,B26,2023-11,Thursday,MOBILE BUS LANE,1
396,B26,2023-11,Tuesday,MOBILE BUS LANE,1
397,B26,2023-11,Wednesday,MOBILE BUS LANE,3
398,B26,2023-12,Friday,MOBILE BUS LANE,7
399,B26,2023-12,Monday,MOBILE BUS LANE,1
400,B26,2023-12,Sunday,MOBILE BUS LANE,1
401,B26,2023-12,Thursday,MOBILE BUS LANE,2
402,B26,2023-12,Tuesday,MOBILE BUS LANE,3
403,B26,2023-12,Wednesday,MOBILE BUS LANE,6
404,B26,2024-01,Friday,MOBILE BUS LANE,8
405,B26,2024-01,Monday,MOBILE BUS LANE,1
406,B26,2024-01,Saturday,MOBILE BUS LANE,1
407,B26,2024-01,Thursday,MOBILE BUS LANE,1
408,B26,2024-01,Tuesday,MOBILE BUS LANE,6
409,B26,2024-01,Wednesday,MOBILE BUS LANE,6
410,B26,2024-02,Friday,MOBILE BUS LANE,3
411,B26,2024-02,Monday,MOBILE BUS LANE,4
412,B26,2024-02,Thursday,MOBILE BUS LANE,4
413,B26,2024-02,Tuesday,MOBILE BUS LANE,3
414,B26,2024-02,Wednesday,MOBILE BUS LANE,4
415,B26,2024-03,Friday,MOBILE BUS LANE,3
416,B26,2024-03,Monday,MOBILE BUS LANE,3
417,B26,2024-03,Saturday,MOBILE BUS LANE,5
418,B26,2024-03,Thursday,MOBILE BUS LANE,4
419,B26,2024-03,Tuesday,MOBILE BUS LANE,4
420,B26,2024-03,Wednesday,MOBILE BUS LANE,2
421,B26,2024-04,Friday,MOBILE BUS LANE,6
422,B26,2024-04,Monday,MOBILE BUS LANE,3
423,B26,2024-04,Saturday,MOBILE BUS LANE,1
424,B26,2024-04,Thursday,MOBILE BUS LANE,4
425,B26,2024-04,Tuesday,MOBILE BUS LANE,8
426,B26,2024-04,Wednesday,MOBILE BUS LANE,3
427,B26,2024-05,Friday,MOBILE BUS LANE,5
428,B26,2024-05,Monday,MOBILE BUS LANE,1
429,B26,2024-05,Saturday,MOBILE BUS LANE,1
430,B26,2024-05,Thursday,MOBILE BUS LANE,2
431,B26,2024-05,Tuesday,MOBILE BUS LANE,6
432,B26,2024-05,Wednesday,MOBILE BUS LANE,7
433,B26,2024-06,Friday,MOBILE BUS LANE,2
434,B26,2024-06,Saturday,MOBILE BUS LANE,2
435,B26,2024-06,Sunday,MOBILE BUS LANE,1
436,B26,2024-06,Thursday,MOBILE BUS LANE,2
437,B26,2024-06,Tuesday,MOBILE BUS LANE,1
438,B26,2024-06,Wednesday,MOBILE BUS LANE,1
439,B26,2024-07,Friday,MOBILE BUS LANE,5
440,B26,2024-07,Saturday,MOBILE BUS LANE,1
441,B26,2024-07,Sunday,MOBILE BUS LANE,1
442,B26,2024-07,Thursday,MOBILE BUS LANE,1
443,B26,2024-07,Tuesday,MOBILE BUS LANE,5
444,B26,2024-07,Wednesday,MOBILE BUS LANE,6
445,B26,2024-08,Friday,MOBILE BUS LANE,6
446,B26,2024-08,Monday,MOBILE BUS LANE,1
