,month,bus_route_id,violation_type,violations
299,2023-03,BX41+,MOBILE BUS LANE,9151
300,2023-03,M14+,MOBILE BUS LANE,890
301,2023-03,M15+,MOBILE BUS LANE,5082
302,2023-03,M23+,MOBILE BUS LANE,73
303,2023-03,M34+,MOBILE BUS LANE,85
304,2023-03,M86+,MOBILE BUS LANE,6
305,2023-03,Q43,MOBILE BUS LANE,410
306,2023-03,Q44+,MOBILE BUS LANE,2600
307,2023-03,S79+,MOBILE BUS LANE,104
308,2023-04,B25,MOBILE BUS LANE,221
309,2023-04,B42,MOBILE BUS LANE,76
310,2023-04,B44+,MOBILE BUS LANE,428
311,2023-04,B46+,MOBILE BUS LANE,847
312,2023-04,B62,MOBILE BUS LANE,40
313,2023-04,BX12+,MOBILE BUS LANE,5115
314,2023-04,BX19,MOBILE BUS LANE,775
315,2023-04,BX41+,MOBILE BUS LANE,6093
316,2023-04,M14+,MOBILE BUS LANE,595
317,2023-04,M15+,MOBILE BUS LANE,4175
318,2023-04,M23+,MOBILE BUS LANE,111
319,2023-04,M34+,MOBILE BUS LANE,83
320,2023-04,M86+,MOBILE BUS LANE,15
321,2023-04,Q43,MOBILE BUS LANE,386
322,2023-04,Q44+,MOBILE BUS LANE,1792
323,2023-04,S79+,MOBILE BUS LANE,94
324,2023-05,B25,MOBILE BUS LANE,312
325,2023-05,B42,MOBILE BUS LANE,139
326,2023-05,B44+,MOBILE BUS LANE,379
327,2023-05,B46+,MOBILE BUS LANE,791
328,2023-05,B62,MOBILE BUS LANE,11
329,2023-05,BX12+,MOBILE BUS LANE,5017
330,2023-05,BX19,MOBILE BUS LANE,544
331,2023-05,BX35,MOBILE BUS LANE,1374
332,2023-05,BX41+,MOBILE BUS LANE,5234
333,2023-05,M14+,MOBILE BUS LANE,804
334,2023-05,M15+,MOBILE BUS LANE,4221
335,2023-05,M23+,MOBILE BUS LANE,48
336,2023-05,M34+,MOBILE BUS LANE,71
337,2023-05,M86+,MOBILE BUS LANE,29
338,2023-05,Q43,MOBILE BUS LANE,379
339,2023-05,Q44+,MOBILE BUS LANE,1559
340,2023-05,S79+,MOBILE BUS LANE,92
341,2023-06,B25,MOBILE BUS LANE,194
342,2023-06,B42,MOBILE BUS LANE,184
343,2023-06,B44+,MOBILE BUS LANE,335
344,2023-06,B46+,MOBILE BUS LANE,624
345,2023-06,B62,MOBILE BUS LANE,6
346,2023-06,BX12+,MOBILE BUS LANE,4134
347,2023-06,BX19,MOBILE BUS LANE,575
348,2023-06,BX35,MOBILE BUS LANE,831
349,2023-06,BX36,MOBILE BUS LANE,917
350,2023-06,BX41+,MOBILE BUS LANE,4606
351,2023-06,M14+,MOBILE BUS LANE,786
352,2023-06,M15+,MOBILE BUS LANE,3812
353,2023-06,M23+,MOBILE BUS LANE,57
354,2023-06,M34+,MOBILE BUS LANE,69
355,2023-06,M86+,MOBILE BUS LANE,26
356,2023-06,Q43,MOBILE BUS LANE,389
357,2023-06,Q44+,MOBILE BUS LANE,1700
358,2023-06,S79+,MOBILE BUS LANE,137
359,2023-07,B25,MOBILE BUS LANE,183
360,2023-07,B42,MOBILE BUS LANE,153
361,2023-07,B44+,MOBILE BUS LANE,407
362,2023-07,B46+,MOBILE BUS LANE,814
363,2023-07,B62,MOBILE BUS LANE,6
364,2023-07,BX12+,MOBILE BUS LANE,4207
365,2023-07,BX19,MOBILE BUS LANE,473
366,2023-07,BX35,MOBILE BUS LANE,659
367,2023-07,BX36,MOBILE BUS LANE,1202
368,2023-07,BX41+,MOBILE BUS LANE,5493
369,2023-07,M14+,MOBILE BUS LANE,641
370,2023-07,M15+,MOBILE BUS LANE,4050
371,2023-07,M23+,MOBILE BUS LANE,40
372,2023-07,M34+,MOBILE BUS LANE,54
373,2023-07,M86+,MOBILE BUS LANE,31
374,2023-07,Q43,MOBILE BUS LANE,321
375,2023-07,Q44+,MOBILE BUS LANE,1415
